account_id,district_id,frequency,parseddate,year,month,day,date
A00000866,9,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10
A00000022,1,Monthly Issuance,2014-03-23,2014,3,23,2014-03-23
A00001479,54,Monthly Issuance,2015-04-04,2015,4,4,2015-04-04
A00004852,47,Monthly Issuance,2015-04-13,2015,4,13,2015-04-13
A00002499,2,Monthly Issuance,2016-02-08,2016,2,8,2016-02-08
A00001216,77,Monthly Issuance,2016-03-01,2016,3,1,2016-03-01
A00000580,75,Monthly Issuance,2016-05-20,2016,5,20,2016-05-20
A00003332,17,Monthly Issuance,2017-03-25,2017,3,25,2017-03-25
A00008645,60,Monthly Issuance,2017-06-23,2017,6,23,2017-06-23
A00001615,1,Monthly Issuance,2017-10-20,2017,10,20,2017-10-20
